subNumber,Gender,driverTraining,eventNumber,TTC,Age,drivingExperience,reactionTime,crash,minTTC,AVR,attenD,euclideanGazeDispersion,gazeEntropy,yawGazeDispersion,pitchGazeDispersion,totalGlanceTimeDriverMirror,totalGlanceTimeInstrumentCluster,totalGlanceTimeOffRoad,totalGlanceTimeOnRoad,totalGlanceTimePassengerMirror,totalGlanceTimeRearMirror,totalGlanceTimeOther
3,1,0,0,0,37,12,2.75,1,0.05,1.24,0,0.13,0.5,0.22,0.19,0,0,0,6.49991,0,0,0
4,1,0,0,0,27,9,2.57,1,0.04,2.19,3,0.01,2.6,0.12,0.09,0,0,3.000092,3.499991,0,0,0
4,1,0,1,0,27,9,1.9,1,0.06,2.19,0,0.01,2.15,0.14,0.06,0,0,2.976755,3.520544,0,0,0
4,1,0,2,5,27,9,2.63,0,0.92,2.19,0,0.03,1.86,0.22,0.15,0,0,3.58734,2.757942,0,0,0.153441
4,1,0,3,0,27,9,2,0,0.74,2.19,0,0.04,1.06,0.29,0.15,0,0,5.784356,0.715487,0,0,0
5,0,0,0,0,30,5,2.3,1,0.06,1.7,0,0.01,0,0.2,0.31,0,0,6.500119,0,0,0,0
5,0,0,1,0,30,5,2.35,1,0.18,1.7,0,0.03,1.5,0.12,0.14,0,0,0,6.499767,0,0,0
5,0,0,2,5,30,5,2.18,0,0.95,1.7,0,0.11,1.06,0.25,0.26,0,0.172688,3.001056,3.325619,0,0,0
5,0,0,3,0,30,5,1.52,1,0.05,1.7,3,0.07,1.55,0.24,0.26,0,0,3.934796,2.564711,0,0,0
6,1,1,0,0,28,5,1.98,0,0.14,3.29,0,0.09,2.31,0.17,0.1,0,0,0,6.500279,0,0,0
6,1,1,1,0,28,5,1.27,0,0.71,3.29,3,0.01,2.07,0.09,0.12,0,0.651098,3.022104,2.825404,0,0,0
6,1,1,2,5,28,5,1.6,0,0.86,3.29,0,0.05,2.37,0.21,0.19,0,0,3.304288,3.196078,0,0,0
6,1,1,3,0,28,5,1.02,1,0.03,3.29,0,0.04,1.83,0.18,0.13,0,0,2.977804,3.523162,0,0,0
7,0,0,0,0,25,8,2,1,0.1,3.35,3,0.06,2.96,0.25,0.12,0,0,3.000506,3.500528,0,0,0
7,0,0,1,0,25,8,1.68,0,1.27,3.35,0,0.06,1.46,0.21,0.24,0,0,3.522752,2.976298,0,0,0
7,0,0,2,5,25,8,2.55,0,2.36,3.35,0,0.14,1.86,0.28,0.17,0,0.563762,0,5.93695,0,0,0
7,0,0,3,0,25,8,1.7,0,1.46,3.35,0,0.19,1.82,0.3,0.25,0,0,0.588806,5.910821,0,0,0
8,1,0,0,0,29,11,2.08,1,0.06,2.18,0,0.04,1.83,0.16,0.19,0,0,3.628663,2.872015,0,0,0
8,1,0,1,0,29,11,1.73,1,0.39,2.18,0,0.07,2.91,0.16,0.19,1.412083,0,0.805763,4.28447,0,0,0
8,1,0,2,5,29,11,1.77,0,1.77,2.18,0,0.05,3.08,0.17,0.14,0,0,0.218443,4.586012,1.694182,0,0
8,1,0,3,0,29,11,1.25,0,1.42,2.18,3,0.09,2.15,0.16,0.24,0,0,5.197696,1.302651,0,0,0
9,0,0,0,0,28,8,1.48,0,0.93,2.56,0,0.16,3.25,0.14,0.27,0,0,2.328437,4.171502,0,0,0
9,0,0,1,0,28,8,1.27,0,1.57,2.56,0.7,0.07,1.38,0.13,0.19,0,3.022508,2.978336,0.49937,0,0,0
9,0,0,2,5,28,8,2.38,0,2.32,2.56,0,0.02,2.95,0.12,0.08,0,0,0,6.194607,0,0,0.303449
10,0,0,0,0,32,14,1.42,0,0.33,3.43,3,0.06,2.11,0.21,0.14,0,0,3.04364,3.455877,0,0,0
10,0,0,1,0,32,14,1.28,0,1.33,3.43,0,0,1.92,0.05,0.05,0,0,3.000668,3.498391,0,0,0
10,0,0,2,5,32,14,1.7,0,3.36,3.43,3,0,1.8,0.04,0.06,0,0,2.998826,3.499926,0,0,0
10,0,0,3,0,32,14,1.57,0,1.52,3.43,0,0.03,2.48,0.15,0.09,0,0,0,6.500521,0,0,0
12,0,1,0,0,30,11,1.45,0,1.68,1.79,0,0.11,1.06,0.25,0.26,0,0,3.779504,2.263725,0,0.457487,0
12,0,1,1,0,30,11,1.27,0,0.76,1.79,0.87,0.03,2.29,0.16,0.16,0,0,3.042974,3.45563,0,0,0
12,0,1,2,5,30,11,1.7,0,2.86,1.79,3,0.04,1.82,0.2,0.19,0,0,3.323823,2.22242,0,0.95533,0
12,0,1,3,0,30,11,1.13,0,1.73,1.79,0,0.03,1.53,0.16,0.13,0,0,3.022165,3.477015,0,0,0
13,1,1,0,0,37,19,1.62,1,0.05,3.49,1.37,0.02,2.28,0.15,0.08,0,0,3.021475,3.479556,0,0,0
13,1,1,1,0,37,19,1.37,0,1.05,3.49,0,0.03,2.04,0.23,0.12,0,0,3.43378,3.066811,0,0,0
13,1,1,2,5,37,19,1.05,0,3.52,3.49,0,0.06,1.92,0.22,0.13,0,0,2.978585,3.521927,0,0,0
13,1,1,3,0,37,19,0.18,1,0.11,3.49,0,0.03,2.07,0.15,0.15,0,0,3.064618,3.434753,0,0,0
14,1,1,0,0,29,11,1.03,0,2.09,6.9,0,0.03,2.62,0.16,0.05,0,0,3.00039,3.498522,0,0,0
14,1,1,1,0,29,11,1.25,0,2.29,6.9,0,0.07,2.31,0.16,0.17,0,0,0.7396,5.761412,0,0,0
14,1,1,2,5,29,11,1.83,0,2.95,6.9,0,0.01,2.53,0.07,0.1,0,0,2.979173,3.522808,0,0,0
15,1,0,0,0,61,43,1.67,1,0.32,1.59,0,0.03,2.24,0.13,0.14,0,0,1.327267,5.172204,0,0,0
15,1,0,1,0,61,43,1.07,0,1.45,1.59,3,0.03,1.84,0.13,0.19,0,0,3.347606,2.521629,0,0.632029,0
15,1,0,2,5,61,43,0.92,0,3.98,1.59,0,0.01,2.17,0.11,0.07,0,0,2.978926,3.519862,0,0,0
15,1,0,3,0,61,43,1.17,0,1.35,1.59,0,0.05,1.84,0.13,0.2,0,0,3.499925,3.00137,0,0,0
16,0,0,0,0,37,10,1.87,0,0.57,1.39,3,0.05,1.5,0.17,0.1,0,0,2.999294,3.066579,0,0.43389,0
16,0,0,1,0,37,10,1.47,0,1.32,1.39,0,0.04,0,0.15,0.09,0,0,3.0003,3.499656,0,0,0
16,0,0,2,5,37,10,1.45,0,4.31,1.39,0,0.01,1.89,0.04,0.04,0,0,0,6.499567,0,0,0
16,0,0,3,0,37,10,1.32,0,2.74,1.39,0,0.11,0,0.22,0.19,0.738287,0,0,5.763467,0,0,0
17,0,1,0,0,36,21,1.07,0,0.58,1.66,0,0.01,1.79,0.07,0.12,0,0,3.000396,3.499291,0,0,0
17,0,1,1,0,36,21,1.6,0,1.78,1.66,0,0.01,2.55,0.06,0.06,0,0,0,6.500467,0,0,0
17,0,1,2,5,36,21,1.2,0,4.34,1.66,0,0.07,2.23,0.17,0.2,0.303963,0,0.978063,5.218722,0,0,0
17,0,1,3,0,36,21,0.92,0,3.21,1.66,2.3,0.09,2.31,0.27,0.25,0.588083,0,3.238964,2.673122,0,0,0
18,1,0,0,0,49,27,2.13,1,0.12,2.44,0,0.01,2.6,0.09,0.05,0,0,0,6.500555,0,0,0
18,1,0,1,0,49,27,2.1,1,0.11,2.44,1.61,0.1,2.12,0.22,0.25,0,1.389682,4.021399,1.088051,0,0,0
18,1,0,2,5,49,27,2.5,0,2.1,2.44,0,0.13,2.08,0.16,0.24,0,0,2.631737,3.867242,0,0,0
18,1,0,3,0,49,27,1.58,0,0.82,2.44,0,0.03,2.45,0.15,0.18,0,0,3.304285,3.196328,0,0,0
19,1,0,0,0,31,15,2.3,1,0.05,1.17,3,0.05,1.49,0.21,0.21,0.174616,0.542132,3.000712,2.780642,0,0,0
20,0,1,0,0,33,15,1.32,0,2.03,6.98,0,0.03,2.37,0.21,0.1,0,0,3.022019,3.47704,0,0,0
20,0,1,1,0,33,15,1.82,0,1.32,6.98,0,0.21,2.37,0.27,0.28,0.435253,0,1.197323,4.759707,0,0,0.108035
20,0,1,2,5,33,15,1.02,0,5.1,6.98,3,0.04,1.84,0.19,0.19,0.521076,0,2.998641,2.979617,0,0,0
20,0,1,3,0,33,15,1.17,0,1.67,6.98,3,0.03,1.73,0.19,0.09,0,0,3.000214,3.499513,0,0,0
21,0,1,0,0,36,8,2.27,1,0.05,13.52,0,0.09,2.92,0.16,0.2,0.501793,0,0,5.997971,0,0,0
21,0,1,1,0,36,8,1.63,1,0.12,13.52,3,0.07,1.53,0.21,0.23,0,0.565405,3.565902,2.368918,0,0,0
21,0,1,2,5,36,8,1.68,0,1.62,13.52,3,0,2,0.06,0.07,0,0,2.979623,3.519254,0,0,0
21,0,1,3,0,36,8,1.87,1,0.16,13.52,0,0.05,2.41,0.21,0.23,0.740001,0.021188,3.02159,2.718212,0,0,0
22,1,1,0,0,27,9,1.78,1,0.19,2.19,3,0.09,2.42,0.15,0.27,0,0,5.217592,1.279553,0,0,0
22,1,1,1,0,27,9,1.57,0,0.87,2.19,0,0.03,2.01,0.14,0.18,0,0,3.41083,3.08948,0,0,0
22,1,1,2,5,27,9,2.05,0,3.26,2.19,0,0.12,1.46,0.19,0.33,0,0,5.387482,1.113265,0,0,0
22,1,1,3,0,27,9,1.3,0,2.6,2.19,0,0.13,1.83,0.23,0.24,0,0,1.370807,5.12915,0,0,0
24,0,1,0,0,48,30,1.68,0,0.54,1.25,0,0.16,2.38,0.24,0.21,0,2.633165,0,3.868562,0,0,0
24,0,1,1,0,48,30,1.92,1,0.3,1.25,1.09,0.04,2.13,0.19,0.15,0,1.562041,3.04512,1.892144,0,0,0
24,0,1,2,5,48,30,1.33,0,2.56,1.25,0,0.08,1.06,0.24,0.21,0,2.322988,3.022434,1.152533,0,0,0
24,0,1,3,0,48,30,1.42,0,0.62,1.25,0,0.31,1.06,0.31,0.31,0,1.13149,4.237892,1.131108,0,0,0
25,1,0,0,0,30,11,1.97,1,0.09,19.27,3,0.01,2.56,0.13,0.08,0,0,2.99941,3.477229,0,0.022089,0
25,1,0,1,0,30,11,2.07,0,0.24,19.27,0,0.03,2.13,0.17,0.12,0.828075,0,2.999864,2.670168,0,0,0
25,1,0,2,5,30,11,3.05,0,0.57,19.27,0,0.09,3.1,0.2,0.18,0.871339,0,0,5.627345,0,0,0
26,0,1,0,0,25,5,1.05,0,2.9,2.33,0,0.15,1.5,0.3,0.32,0,0,3.95865,2.54062,0,0,0
26,0,1,1,0,25,5,1.1,0,3.41,2.33,0,0.25,2.15,0.31,0.29,0,0,1.238692,5.262229,0,0,0
26,0,1,2,5,25,5,1.12,0,7.55,2.33,0,0.25,1,0.31,0.24,0,0,0.565845,5.586578,0,0,0.348289
26,0,1,3,0,25,5,0.85,0,3.21,2.33,3,0.03,1.5,0.18,0.13,0,0.77987,2.976684,2.743235,0,0,0
27,1,1,0,0,48,30,1.22,0,1.91,1.11,0,0.1,2.62,0.09,0.09,0,0,0,6.500052,0,0,0
27,1,1,1,0,48,30,1.15,0,1.42,1.11,3,0.12,1.46,0.18,0.18,0,0,3.47955,3.020372,0,0,0
27,1,1,2,5,48,30,2.1,0,2.89,1.11,0,0.12,2.6,0.19,0.17,0,0,0,6.498517,0,0,0
27,1,1,3,0,48,30,1.13,0,2.57,1.11,0,0.03,2.15,0.18,0.11,0,0,3.001179,3.497833,0,0,0
28,0,1,0,0,26,8,1.52,0,1.1,12.41,3,0.12,1.91,0.18,0.26,0,0.260558,4.242602,1.996284,0,0,0
28,0,1,1,0,26,8,1.53,0,0.86,12.41,0,0.05,2.38,0.19,0.21,0,0,3.738692,2.76133,0,0,0
29,1,0,0,0,25,6,2.35,1,0.09,2.84,0,0.03,1,0.18,0.14,0,0,3.000462,3.478311,0,0,0.020751
29,1,0,1,0,25,6,1.6,0,1.38,2.84,0,0.06,2.15,0.2,0.15,0,0.542634,0.565478,5.394201,0,0,0
29,1,0,2,5,25,6,2.62,0,1.85,2.84,3,0.05,2.59,0.19,0.17,0,0.218892,3.001379,3.28128,0,0,0
29,1,0,3,0,25,6,1.62,0,1.29,2.84,3,0.06,1.63,0.22,0.18,0,0,3.47783,3.021599,0,0,0
30,1,1,0,0,33,9,1.58,0,1.53,3.07,0,0.02,1.71,0.12,0.1,0,0,0,6.497146,0,0,0
30,1,1,1,0,33,9,1.67,0,0.81,3.07,2.37,0.11,2.12,0.23,0.29,0,1.086959,4.568018,0.845101,0,0,0
30,1,1,2,5,33,9,1.33,0,1.18,3.07,3,0.06,1.78,0.22,0.21,0.694759,0,2.956227,2.849387,0,0,0
30,1,1,3,0,33,9,1.32,0,0.13,3.07,0,0.09,2.53,0.16,0.28,0,0,3.67052,2.830647,0,0,0
31,0,1,0,0,44,25,1.88,1,0.07,1.01,3,0.08,2.15,0.25,0.21,0.628484,0,3.00023,2.113172,0.758738,0,0
31,0,1,1,0,44,25,2.1,1,0.09,1.01,0,0.05,2.12,0.24,0.19,0,0,2.999119,3.500108,0,0,0
31,0,1,2,5,44,25,2.28,0,2.37,1.01,0,0.04,1.73,0.21,0.13,0,0,2.999836,3.498528,0,0,0
31,0,1,3,0,44,25,1.47,0,1.65,1.01,0,0.06,2.42,0.18,0.14,0,0,0,5.934287,0,0.566372,0
32,1,1,0,0,25,8,1.82,1,0.18,4.66,0,0.02,2.31,0.09,0.15,0,0,3.001907,3.496864,0,0,0
32,1,1,1,0,25,8,2.02,0,0.93,4.66,0,0.13,2.38,0.21,0.27,0.519367,0.804893,1.348317,3.82822,0,0,0
32,1,1,2,5,25,8,2.6,0,1.57,4.66,0,0.06,2.37,0.19,0.28,0,0,4.045638,2.454904,0,0,0
32,1,1,3,0,25,8,1.62,0,0.55,4.66,2.26,0.06,2.15,0.17,0.19,0,1.846824,3.043648,1.608153,0,0,0
33,0,1,0,0,39,18,0.38,1,0.47,1.33,0,0.07,2.4,0.22,0.15,0.567236,0.106263,0,5.368379,0,0,0
33,0,1,1,0,39,18,1.2,0,1.12,1.33,2.35,0.01,2.53,0.1,0.06,0,0,2.955344,3.544664,0,0,0
33,0,1,2,5,39,18,1.13,0,1.29,1.33,0,0.14,1.46,0.36,0.22,0.695735,0,5.174656,0.628127,0,0,0
33,0,1,3,0,39,18,1.1,0,0.24,1.33,0,0.03,1.49,0.2,0.17,0,0.542494,3.76327,2.194166,0,0,0
